Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
303.83	0.10000	55.256	0.018098	2.3158	2.3176	8.0354	74.122	75.298	1510.7	-0.21776	785.88	0.61541	liquid
304.49	0.10000	55.244	0.018102	2.3660	2.3678	8.2005	74.071	75.296	1512.2	-0.21734	774.95	0.61641	liquid
305.16	0.10000	55.232	0.018105	2.4162	2.4180	8.3651	74.020	75.295	1513.7	-0.21692	764.26	0.61739	liquid
305.83	0.10000	55.220	0.018109	2.4664	2.4682	8.5294	73.969	75.293	1515.1	-0.21650	753.81	0.61837	liquid
306.49	0.10000	55.208	0.018113	2.5166	2.5184	8.6934	73.917	75.292	1516.5	-0.21608	743.59	0.61934	liquid
307.16	0.10000	55.196	0.018117	2.5668	2.5686	8.8570	73.865	75.291	1517.9	-0.21567	733.59	0.62029	liquid
307.83	0.10000	55.183	0.018121	2.6170	2.6188	9.0202	73.813	75.291	1519.2	-0.21526	723.81	0.62124	liquid
308.49	0.10000	55.171	0.018126	2.6671	2.6690	9.1831	73.760	75.290	1520.5	-0.21485	714.23	0.62218	liquid
309.16	0.10000	55.158	0.018130	2.7173	2.7192	9.3456	73.707	75.290	1521.8	-0.21444	704.87	0.62311	liquid
309.83	0.10000	55.145	0.018134	2.7675	2.7693	9.5078	73.654	75.290	1523.1	-0.21403	695.69	0.62403	liquid
310.49	0.10000	55.131	0.018139	2.8177	2.8195	9.6696	73.600	75.290	1524.3	-0.21363	686.72	0.62494	liquid
311.16	0.10000	55.118	0.018143	2.8679	2.8697	9.8311	73.546	75.291	1525.5	-0.21323	677.92	0.62584	liquid
311.83	0.10000	55.104	0.018147	2.9181	2.9199	9.9922	73.492	75.291	1526.7	-0.21283	669.31	0.62674	liquid
312.49	0.10000	55.090	0.018152	2.9683	2.9701	10.153	73.437	75.292	1527.8	-0.21243	660.88	0.62762	liquid
313.16	0.10000	55.076	0.018157	3.0185	3.0203	10.313	73.383	75.293	1528.9	-0.21203	652.62	0.62850	liquid
313.83	0.10000	55.062	0.018161	3.0687	3.0705	10.474	73.328	75.295	1530.0	-0.21163	644.52	0.62936	liquid
314.49	0.10000	55.048	0.018166	3.1189	3.1207	10.633	73.273	75.296	1531.1	-0.21124	636.59	0.63022	liquid
315.16	0.10000	55.033	0.018171	3.1691	3.1709	10.793	73.217	75.297	1532.1	-0.21085	628.82	0.63107	liquid
315.83	0.10000	55.018	0.018176	3.2193	3.2211	10.952	73.161	75.299	1533.1	-0.21046	621.20	0.63191	liquid
316.49	0.10000	55.003	0.018181	3.2695	3.2713	11.111	73.105	75.301	1534.1	-0.21007	613.72	0.63275	liquid
317.16	0.10000	54.988	0.018186	3.3197	3.3215	11.269	73.049	75.303	1535.1	-0.20968	606.40	0.63357	liquid
317.83	0.10000	54.973	0.018191	3.3699	3.3717	11.427	72.992	75.305	1536.0	-0.20929	599.21	0.63439	liquid
318.49	0.10000	54.957	0.018196	3.4201	3.4219	11.585	72.936	75.308	1536.9	-0.20891	592.17	0.63520	liquid
319.16	0.10000	54.942	0.018201	3.4703	3.4721	11.743	72.879	75.310	1537.8	-0.20852	585.26	0.63600	liquid
319.83	0.10000	54.926	0.018206	3.5205	3.5223	11.900	72.821	75.313	1538.7	-0.20814	578.48	0.63679	liquid
320.49	0.10000	54.910	0.018212	3.5707	3.5725	12.057	72.764	75.316	1539.5	-0.20776	571.83	0.63757	liquid
321.16	0.10000	54.894	0.018217	3.6209	3.6227	12.213	72.706	75.319	1540.3	-0.20738	565.30	0.63835	liquid
321.83	0.10000	54.877	0.018222	3.6711	3.6729	12.369	72.648	75.322	1541.1	-0.20700	558.89	0.63912	liquid
322.49	0.10000	54.861	0.018228	3.7213	3.7232	12.525	72.590	75.325	1541.8	-0.20662	552.61	0.63988	liquid
323.16	0.10000	54.844	0.018234	3.7715	3.7734	12.681	72.532	75.328	1542.6	-0.20624	546.44	0.64063	liquid
323.83	0.10000	54.827	0.018239	3.8218	3.8236	12.836	72.474	75.332	1543.3	-0.20586	540.38	0.64137	liquid
324.49	0.10000	54.810	0.018245	3.8720	3.8738	12.991	72.415	75.335	1544.0	-0.20549	534.43	0.64211	liquid
325.16	0.10000	54.793	0.018250	3.9222	3.9240	13.145	72.356	75.339	1544.7	-0.20511	528.59	0.64284	liquid
325.83	0.10000	54.776	0.018256	3.9724	3.9743	13.300	72.297	75.343	1545.3	-0.20474	522.85	0.64356	liquid
326.49	0.10000	54.758	0.018262	4.0227	4.0245	13.454	72.238	75.347	1545.9	-0.20437	517.21	0.64428	liquid
327.16	0.10000	54.741	0.018268	4.0729	4.0747	13.607	72.178	75.351	1546.5	-0.20399	511.68	0.64498	liquid
327.83	0.10000	54.723	0.018274	4.1231	4.1250	13.761	72.119	75.355	1547.1	-0.20362	506.24	0.64568	liquid
328.49	0.10000	54.705	0.018280	4.1734	4.1752	13.914	72.059	75.359	1547.7	-0.20325	500.90	0.64637	liquid
329.16	0.10000	54.687	0.018286	4.2236	4.2254	14.067	71.999	75.364	1548.2	-0.20288	495.64	0.64706	liquid
329.83	0.10000	54.669	0.018292	4.2738	4.2757	14.219	71.939	75.368	1548.7	-0.20251	490.49	0.64773	liquid
330.49	0.10000	54.650	0.018298	4.3241	4.3259	14.371	71.879	75.373	1549.2	-0.20214	485.41	0.64840	liquid
331.16	0.10000	54.632	0.018304	4.3743	4.3762	14.523	71.818	75.378	1549.7	-0.20177	480.43	0.64907	liquid
331.83	0.10000	54.613	0.018311	4.4246	4.4264	14.675	71.758	75.383	1550.1	-0.20140	475.53	0.64972	liquid
332.49	0.10000	54.594	0.018317	4.4748	4.4767	14.826	71.697	75.388	1550.6	-0.20103	470.71	0.65037	liquid
333.16	0.10000	54.575	0.018323	4.5251	4.5269	14.977	71.636	75.393	1551.0	-0.20066	465.97	0.65101	liquid
333.83	0.10000	54.556	0.018330	4.5754	4.5772	15.128	71.575	75.398	1551.4	-0.20030	461.32	0.65164	liquid
334.49	0.10000	54.537	0.018336	4.6256	4.6275	15.278	71.514	75.404	1551.7	-0.19993	456.74	0.65227	liquid
335.16	0.10000	54.518	0.018343	4.6759	4.6777	15.428	71.453	75.409	1552.1	-0.19956	452.23	0.65289	liquid
335.83	0.10000	54.498	0.018349	4.7262	4.7280	15.578	71.392	75.415	1552.4	-0.19920	447.80	0.65350	liquid
336.49	0.10000	54.478	0.018356	4.7764	4.7783	15.728	71.331	75.421	1552.7	-0.19883	443.44	0.65410	liquid
337.16	0.10000	54.459	0.018363	4.8267	4.8286	15.877	71.269	75.427	1553.0	-0.19846	439.15	0.65470	liquid
337.83	0.10000	54.439	0.018369	4.8770	4.8788	16.026	71.207	75.433	1553.3	-0.19810	434.93	0.65529	liquid
338.49	0.10000	54.419	0.018376	4.9273	4.9291	16.175	71.146	75.439	1553.5	-0.19773	430.78	0.65587	liquid
339.16	0.10000	54.398	0.018383	4.9776	4.9794	16.323	71.084	75.445	1553.8	-0.19737	426.70	0.65645	liquid
339.83	0.10000	54.378	0.018390	5.0279	5.0297	16.471	71.022	75.452	1554.0	-0.19700	422.68	0.65702	liquid
340.49	0.10000	54.357	0.018397	5.0782	5.0800	16.619	70.960	75.458	1554.2	-0.19663	418.72	0.65758	liquid
341.16	0.10000	54.337	0.018404	5.1285	5.1303	16.767	70.898	75.465	1554.3	-0.19627	414.83	0.65814	liquid
341.82	0.10000	54.316	0.018411	5.1788	5.1806	16.914	70.836	75.471	1554.5	-0.19590	410.99	0.65869	liquid
342.49	0.10000	54.295	0.018418	5.2291	5.2310	17.061	70.773	75.478	1554.6	-0.19554	407.22	0.65923	liquid
343.16	0.10000	54.274	0.018425	5.2794	5.2813	17.208	70.711	75.485	1554.7	-0.19517	403.50	0.65976	liquid
343.82	0.10000	54.253	0.018432	5.3298	5.3316	17.355	70.649	75.492	1554.8	-0.19481	399.84	0.66029	liquid
344.49	0.10000	54.231	0.018440	5.3801	5.3819	17.501	70.586	75.500	1554.9	-0.19444	396.24	0.66081	liquid
345.16	0.10000	54.210	0.018447	5.4304	5.4323	17.647	70.524	75.507	1555.0	-0.19407	392.69	0.66133	liquid
345.82	0.10000	54.188	0.018454	5.4808	5.4826	17.792	70.461	75.515	1555.0	-0.19371	389.20	0.66184	liquid
346.49	0.10000	54.167	0.018462	5.5311	5.5330	17.938	70.398	75.522	1555.1	-0.19334	385.76	0.66234	liquid
347.16	0.10000	54.145	0.018469	5.5815	5.5833	18.083	70.336	75.530	1555.1	-0.19297	382.37	0.66284	liquid
347.82	0.10000	54.123	0.018477	5.6318	5.6337	18.228	70.273	75.538	1555.1	-0.19261	379.03	0.66332	liquid
348.49	0.10000	54.101	0.018484	5.6822	5.6840	18.373	70.210	75.546	1555.1	-0.19224	375.74	0.66381	liquid
349.16	0.10000	54.078	0.018492	5.7325	5.7344	18.517	70.147	75.554	1555.0	-0.19187	372.50	0.66428	liquid
349.82	0.10000	54.056	0.018499	5.7829	5.7848	18.661	70.084	75.562	1555.0	-0.19150	369.30	0.66475	liquid
350.49	0.10000	54.034	0.018507	5.8333	5.8351	18.805	70.021	75.571	1554.9	-0.19113	366.15	0.66521	liquid
351.16	0.10000	54.011	0.018515	5.8837	5.8855	18.949	69.959	75.579	1554.8	-0.19076	363.05	0.66567	liquid
351.82	0.10000	53.988	0.018523	5.9341	5.9359	19.092	69.896	75.588	1554.7	-0.19040	360.00	0.66612	liquid
352.49	0.10000	53.965	0.018530	5.9844	5.9863	19.235	69.833	75.597	1554.6	-0.19003	356.98	0.66656	liquid
353.16	0.10000	53.942	0.018538	6.0348	6.0367	19.378	69.770	75.606	1554.4	-0.18966	354.01	0.66700	liquid
353.82	0.10000	53.919	0.018546	6.0852	6.0871	19.521	69.707	75.615	1554.3	-0.18928	351.09	0.66743	liquid
354.49	0.10000	53.896	0.018554	6.1357	6.1375	19.663	69.643	75.624	1554.1	-0.18891	348.20	0.66785	liquid
355.16	0.10000	53.873	0.018562	6.1861	6.1879	19.805	69.580	75.634	1553.9	-0.18854	345.36	0.66827	liquid
355.82	0.10000	53.849	0.018570	6.2365	6.2384	19.947	69.517	75.643	1553.7	-0.18817	342.55	0.66868	liquid
356.49	0.10000	53.825	0.018579	6.2869	6.2888	20.088	69.454	75.653	1553.5	-0.18780	339.79	0.66909	liquid
357.16	0.10000	53.802	0.018587	6.3374	6.3392	20.230	69.391	75.663	1553.3	-0.18742	337.06	0.66948	liquid
357.82	0.10000	53.778	0.018595	6.3878	6.3897	20.371	69.328	75.673	1553.0	-0.18705	334.37	0.66988	liquid
358.49	0.10000	53.754	0.018603	6.4383	6.4401	20.512	69.265	75.683	1552.7	-0.18667	331.72	0.67026	liquid
359.16	0.10000	53.730	0.018612	6.4887	6.4906	20.652	69.202	75.693	1552.5	-0.18630	329.11	0.67064	liquid
359.82	0.10000	53.705	0.018620	6.5392	6.5410	20.793	69.139	75.704	1552.2	-0.18592	326.53	0.67102	liquid
360.49	0.10000	53.681	0.018629	6.5896	6.5915	20.933	69.076	75.714	1551.8	-0.18554	323.98	0.67138	liquid
361.16	0.10000	53.657	0.018637	6.6401	6.6420	21.073	69.013	75.725	1551.5	-0.18516	321.47	0.67175	liquid
361.82	0.10000	53.632	0.018646	6.6906	6.6925	21.212	68.950	75.736	1551.2	-0.18478	319.00	0.67210	liquid
362.49	0.10000	53.607	0.018654	6.7411	6.7430	21.352	68.887	75.747	1550.8	-0.18440	316.56	0.67245	liquid
363.16	0.10000	53.583	0.018663	6.7916	6.7935	21.491	68.824	75.758	1550.4	-0.18402	314.15	0.67279	liquid
363.82	0.10000	53.558	0.018671	6.8421	6.8440	21.630	68.761	75.769	1550.1	-0.18364	311.77	0.67313	liquid
364.49	0.10000	53.533	0.018680	6.8926	6.8945	21.769	68.698	75.781	1549.7	-0.18326	309.42	0.67346	liquid
365.16	0.10000	53.507	0.018689	6.9431	6.9450	21.907	68.635	75.793	1549.2	-0.18287	307.11	0.67378	liquid
365.82	0.10000	53.482	0.018698	6.9937	6.9955	22.045	68.572	75.805	1548.8	-0.18249	304.82	0.67410	liquid
366.49	0.10000	53.457	0.018707	7.0442	7.0461	22.183	68.509	75.817	1548.4	-0.18210	302.57	0.67441	liquid
367.16	0.10000	53.431	0.018716	7.0948	7.0966	22.321	68.447	75.829	1547.9	-0.18172	300.34	0.67472	liquid
367.82	0.10000	53.405	0.018725	7.1453	7.1472	22.459	68.384	75.841	1547.4	-0.18133	298.15	0.67502	liquid
368.49	0.10000	53.380	0.018734	7.1959	7.1978	22.596	68.321	75.854	1546.9	-0.18094	295.98	0.67532	liquid
369.16	0.10000	53.354	0.018743	7.2465	7.2483	22.733	68.259	75.867	1546.4	-0.18055	293.84	0.67560	liquid
369.82	0.10000	53.328	0.018752	7.2970	7.2989	22.870	68.196	75.880	1545.9	-0.18016	291.73	0.67589	liquid
370.49	0.10000	53.302	0.018761	7.3476	7.3495	23.007	68.133	75.893	1545.4	-0.17977	289.64	0.67616	liquid
371.16	0.10000	53.276	0.018770	7.3982	7.4001	23.143	68.071	75.906	1544.9	-0.17937	287.58	0.67644	liquid
371.82	0.10000	53.249	0.018780	7.4488	7.4507	23.280	68.008	75.919	1544.3	-0.17898	285.55	0.67670	liquid
372.49	0.10000	53.223	0.018789	7.4994	7.5013	23.416	67.946	75.933	1543.7	-0.17858	283.54	0.67696	liquid
372.76	0.10000	53.212	0.018793	7.5196	7.5214	23.470	67.921	75.938	1543.5	-0.17843	282.75	0.67706	liquid
372.76	0.10000	0.032769	30.517	45.138	48.190	132.57	28.010	37.444	471.99	67.038	12.218	0.024532	vapor
373.16	0.10000	0.032731	30.552	45.150	48.205	132.61	27.986	37.410	472.28	66.630	12.234	0.024565	vapor
373.82	0.10000	0.032668	30.611	45.169	48.230	132.68	27.948	37.356	472.76	65.966	12.260	0.024620	vapor
374.49	0.10000	0.032605	30.670	45.188	48.255	132.75	27.912	37.304	473.23	65.317	12.285	0.024675	vapor
375.16	0.10000	0.032543	30.729	45.207	48.280	132.81	27.877	37.255	473.70	64.683	12.311	0.024731	vapor
375.82	0.10000	0.032480	30.788	45.226	48.304	132.88	27.844	37.207	474.17	64.063	12.337	0.024786	vapor
376.49	0.10000	0.032418	30.847	45.245	48.329	132.94	27.812	37.161	474.64	63.456	12.362	0.024841	vapor
377.16	0.10000	0.032357	30.905	45.263	48.354	133.01	27.782	37.116	475.11	62.861	12.388	0.024897	vapor
377.82	0.10000	0.032295	30.964	45.282	48.379	133.07	27.752	37.074	475.57	62.278	12.414	0.024952	vapor
378.49	0.10000	0.032234	31.023	45.301	48.403	133.14	27.724	37.032	476.04	61.706	12.440	0.025008	vapor
379.16	0.10000	0.032173	31.082	45.320	48.428	133.21	27.697	36.992	476.50	61.145	12.465	0.025063	vapor
379.82	0.10000	0.032113	31.140	45.339	48.453	133.27	27.671	36.954	476.96	60.593	12.491	0.025119	vapor
380.49	0.10000	0.032053	31.199	45.357	48.477	133.33	27.645	36.916	477.41	60.052	12.517	0.025175	vapor
381.16	0.10000	0.031993	31.257	45.376	48.502	133.40	27.621	36.880	477.87	59.519	12.543	0.025230	vapor
381.82	0.10000	0.031933	31.316	45.395	48.527	133.46	27.598	36.845	478.32	58.996	12.569	0.025286	vapor
382.49	0.10000	0.031873	31.374	45.414	48.551	133.53	27.575	36.811	478.78	58.481	12.595	0.025342	vapor
383.16	0.10000	0.031814	31.433	45.432	48.576	133.59	27.553	36.777	479.23	57.974	12.620	0.025398	vapor
383.82	0.10000	0.031755	31.491	45.451	48.600	133.66	27.532	36.745	479.68	57.475	12.646	0.025453	vapor
384.49	0.10000	0.031696	31.549	45.470	48.625	133.72	27.511	36.714	480.13	56.984	12.672	0.025509	vapor
385.16	0.10000	0.031638	31.608	45.488	48.649	133.78	27.491	36.683	480.58	56.500	12.698	0.025565	vapor
385.82	0.10000	0.031580	31.666	45.507	48.673	133.85	27.472	36.654	481.03	56.023	12.724	0.025621	vapor
386.49	0.10000	0.031522	31.724	45.525	48.698	133.91	27.453	36.625	481.47	55.554	12.750	0.025678	vapor
387.16	0.10000	0.031464	31.782	45.544	48.722	133.97	27.435	36.597	481.92	55.090	12.776	0.025734	vapor
387.82	0.10000	0.031406	31.841	45.563	48.747	134.04	27.417	36.569	482.36	54.634	12.802	0.025790	vapor
388.49	0.10000	0.031349	31.899	45.581	48.771	134.10	27.400	36.543	482.80	54.183	12.828	0.025846	vapor
389.16	0.10000	0.031292	31.957	45.600	48.795	134.16	27.384	36.517	483.25	53.739	12.854	0.025902	vapor
389.82	0.10000	0.031235	32.015	45.618	48.820	134.22	27.367	36.491	483.69	53.300	12.880	0.025959	vapor
390.49	0.10000	0.031179	32.073	45.637	48.844	134.29	27.352	36.466	484.13	52.868	12.906	0.026015	vapor
391.16	0.10000	0.031123	32.131	45.655	48.868	134.35	27.336	36.442	484.57	52.441	12.932	0.026071	vapor
391.82	0.10000	0.031067	32.189	45.674	48.893	134.41	27.322	36.419	485.00	52.019	12.958	0.026128	vapor
392.49	0.10000	0.031011	32.247	45.692	48.917	134.47	27.307	36.396	485.44	51.603	12.984	0.026184	vapor
393.16	0.10000	0.030955	32.305	45.711	48.941	134.53	27.293	36.373	485.88	51.192	13.010	0.026241	vapor
393.82	0.10000	0.030900	32.363	45.729	48.965	134.60	27.280	36.351	486.31	50.786	13.036	0.026298	vapor
394.49	0.10000	0.030844	32.421	45.748	48.990	134.66	27.266	36.330	486.75	50.386	13.062	0.026354	vapor
395.16	0.10000	0.030789	32.479	45.766	49.014	134.72	27.254	36.309	487.18	49.990	13.088	0.026411	vapor
395.82	0.10000	0.030735	32.536	45.784	49.038	134.78	27.241	36.288	487.61	49.599	13.114	0.026468	vapor
396.49	0.10000	0.030680	32.594	45.803	49.062	134.84	27.229	36.268	488.05	49.213	13.140	0.026525	vapor
397.16	0.10000	0.030626	32.652	45.821	49.086	134.90	27.217	36.249	488.48	48.831	13.166	0.026582	vapor
397.82	0.10000	0.030572	32.710	45.840	49.111	134.96	27.206	36.230	488.91	48.454	13.192	0.026639	vapor
398.49	0.10000	0.030518	32.768	45.858	49.135	135.02	27.194	36.211	489.34	48.082	13.218	0.026696	vapor
399.16	0.10000	0.030464	32.825	45.876	49.159	135.08	27.183	36.193	489.77	47.714	13.245	0.026753	vapor
399.82	0.10000	0.030411	32.883	45.895	49.183	135.14	27.173	36.175	490.19	47.350	13.271	0.026810	vapor
400.49	0.10000	0.030358	32.941	45.913	49.207	135.20	27.163	36.158	490.62	46.990	13.297	0.026867	vapor
401.16	0.10000	0.030305	32.998	45.931	49.231	135.26	27.153	36.140	491.05	46.635	13.323	0.026924	vapor
401.82	0.10000	0.030252	33.056	45.950	49.255	135.32	27.143	36.124	491.47	46.283	13.349	0.026982	vapor
402.49	0.10000	0.030199	33.114	45.968	49.279	135.38	27.133	36.108	491.90	45.936	13.375	0.027039	vapor
403.16	0.10000	0.030147	33.171	45.986	49.303	135.44	27.124	36.092	492.32	45.593	13.402	0.027096	vapor
403.82	0.10000	0.030094	33.229	46.005	49.327	135.50	27.115	36.076	492.75	45.253	13.428	0.027154	vapor
404.49	0.10000	0.030042	33.286	46.023	49.352	135.56	27.107	36.061	493.17	44.917	13.454	0.027211	vapor
405.16	0.10000	0.029991	33.344	46.041	49.376	135.62	27.098	36.046	493.59	44.585	13.480	0.027269	vapor
405.82	0.10000	0.029939	33.401	46.059	49.400	135.68	27.090	36.032	494.01	44.257	13.507	0.027326	vapor
406.49	0.10000	0.029888	33.459	46.078	49.424	135.74	27.082	36.017	494.43	43.932	13.533	0.027384	vapor
407.16	0.10000	0.029836	33.516	46.096	49.448	135.80	27.074	36.004	494.85	43.611	13.559	0.027442	vapor
407.82	0.10000	0.029785	33.574	46.114	49.472	135.86	27.067	35.990	495.27	43.294	13.585	0.027499	vapor
408.49	0.10000	0.029734	33.631	46.132	49.496	135.92	27.060	35.977	495.69	42.980	13.612	0.027557	vapor
409.16	0.10000	0.029684	33.688	46.151	49.520	135.98	27.053	35.964	496.11	42.669	13.638	0.027615	vapor
409.82	0.10000	0.029633	33.746	46.169	49.544	136.03	27.046	35.951	496.52	42.362	13.664	0.027673	vapor
410.49	0.10000	0.029583	33.803	46.187	49.568	136.09	27.039	35.939	496.94	42.058	13.691	0.027731	vapor
411.16	0.10000	0.029533	33.861	46.205	49.591	136.15	27.033	35.927	497.36	41.758	13.717	0.027789	vapor
411.82	0.10000	0.029483	33.918	46.224	49.615	136.21	27.027	35.915	497.77	41.460	13.743	0.027847	vapor
412.49	0.10000	0.029433	33.975	46.242	49.639	136.27	27.021	35.904	498.19	41.166	13.770	0.027905	vapor
413.16	0.10000	0.029384	34.032	46.260	49.663	136.33	27.015	35.892	498.60	40.875	13.796	0.027964	vapor
413.82	0.10000	0.029334	34.090	46.278	49.687	136.38	27.009	35.881	499.01	40.587	13.822	0.028022	vapor
414.49	0.10000	0.029285	34.147	46.296	49.711	136.44	27.004	35.871	499.43	40.302	13.849	0.028080	vapor
415.16	0.10000	0.029236	34.204	46.315	49.735	136.50	26.999	35.860	499.84	40.021	13.875	0.028139	vapor
415.82	0.10000	0.029187	34.261	46.333	49.759	136.56	26.994	35.850	500.25	39.742	13.902	0.028197	vapor
